hrsinchphenoage	lin2016blood_99cpgs	yingdamage	yingadaptage	hannum2013blood	yingcausage	horvath2018	vidal-bralo2016blood	lin2016blood_3cpgs	zhangenclock2019	phenoage2018	dec2023encen40	horvath2018	horvath2013_shrunken	horvath2013	han2020blood	prob100
0.28529538422218026	-0.08713222087056827	-40.69096505885069	-58.737400765820965	-0.30528864728569505	-0.6696749281805483	0.21082542481533606	0.265649447409103	-0.14085627506305887	-0.3353143823495035	0.3741699891362149	0.08374020816779815	0.21082542481533606	0.26469694264936994	0.7920390608857756	-11.136454249635404	0.0
0.01707727494611133	-0.8963491591912132	-42.5768744716888	-57.92700927202567	-0.4688156622771613	-1.4126565142554854	0.08097565250427441	-0.026611926978957312	-1.0058688655444121	-0.38771945428265253	-0.49187661336531585	0.10283981148065302	0.06050071644095001	-0.03193958380249318	0.4922175682397235	-11.178571502439336	5.0
-0.17323503980567057	-1.7720296415746182	-50.38246679741196	-65.16339349266246	-0.6144402375384803	-1.8694291406733496	-0.06563169503132826	-0.3784336289916388	-1.9522563891938303	-0.4464339582701926	-1.4732928186485257	0.10948662073042781	-0.06591553787330695	-0.24389484536526984	0.17933080611235253	-11.17790984056383	10.0
-0.36419394267478244	-2.300569059639129	-62.59572058957151	-79.2755015588183	-0.8054682342342754	-3.1789851322581804	-0.2362156752185578	-0.6513885013847927	-3.1387988210800986	-0.5100611836345694	-1.9359934492083846	0.1382251475889652	-0.2528883509498847	-0.48261801695908124	-0.08505601269311858	-11.219417805825561	15.000000000000002
-0.4354935557042128	-2.6827116693883704	-83.32284029520912	-102.46822660924423	-1.1964339161669786	-3.580240900268527	-0.4007668919344638	-1.1119105481318594	-4.244292438019848	-0.5416427829241768	-2.774905380612483	0.12128786347286424	-0.43683603107205937	-0.6579085923041224	-0.18456960421084623	-11.258690905184734	20.0
-0.6976484854276679	-3.601610910009623	-108.21186767321795	-131.1959633763959	-1.6657176808268743	-4.503600811046322	-0.6859372793289953	-1.4417340068695843	-4.901724923289218	-0.5844589833448197	-3.485000241652444	0.14668018823070073	-0.6912154504398178	-0.8688929438925612	-0.5391226333133448	-11.237286189011538	25.0
-0.7441688267556625	-3.7933070108666316	-140.0188020047218	-170.56411381717848	-1.8547352295666863	-4.940828565799199	-1.0156191504025642	-1.5972580512671688	-5.949299056687071	-0.6710468773943024	-3.6608255412509045	0.09061279720773385	-0.8226529983117778	-0.9799320627574934	-0.7973694785183258	-11.285716934072497	30.000000000000004
-0.9780280175621723	-4.486989378864582	-175.1046759349614	-217.45972820606062	-2.3158230962284367	-5.148016218610568	-1.15833982111443	-1.8254651289080623	-6.950222394110948	-0.6846726361038902	-4.471213261756693	0.1254098752128412	-1.310368351943811	-0.9662257384014683	-0.8070737915182693	-11.284038395095735	35.0
-1.1305523523793477	-5.526525226333102	-218.89691368213502	-271.3600074501229	-2.8120522813774915	-5.680773506985644	-1.451300554602443	-2.3108674671961924	-8.359755955954773	-0.7537548786849861	-4.167126551335902	0.11571620806228322	-1.5400955832315204	-1.1352247575807075	-1.1191133226829364	-11.348376553614026	40.0
-1.0100813762284857	-5.4763713313170745	-267.2595713111418	-331.1039917889399	-3.2796641805707676	-6.4503458915299525	-1.699066694027112	-2.721809096094476	-8.549408750414607	-0.8005012642241918	-3.8959279173214796	-0.05115349151088133	-1.7874182400470624	-1.1912404058603827	-1.063664095258797	-11.357036319556489	45.0
-1.1496355907204738	-5.9231962993460865	-319.2939323043606	-404.83237767625144	-3.805458167491893	-6.835169636747908	-2.0602710131053183	-3.2009957466716505	-9.894511128900067	-0.8251690256652977	-4.828318051184596	-0.10843529272545327	-2.1367459487511256	-1.192004731465718	-1.381435960679526	-11.35989443910023	50.0
-1.177074075274124	-6.587284729517604	-382.09677342635155	-477.9320805563644	-4.42097552924742	-6.892608247881047	-2.4257444759684756	-3.140399590826478	-10.531995970346022	-0.8877133518209879	-4.275647604165088	-0.11369721806671551	-2.322857079556955	-1.2116346108630656	-1.3070306802378355	-11.35825858580361	55.00000000000001
-1.0866464802477522	-6.356422632813742	-446.2021349138572	-564.9110853962893	-5.321833340798365	-7.316604866302873	-2.890952552052031	-3.649998437196979	-11.633136603438835	-0.9335400457175707	-4.596767672734002	-0.16145235490379561	-2.760949012878862	-1.2505228625799933	-1.3904098918475585	-11.395222601740965	60.00000000000001
-1.0014638021721298	-6.701681936088057	-517.4825642192077	-654.8982958096476	-5.524790267280933	-6.935288870780132	-3.065123954371894	-4.201709379720734	-12.524906173672091	-1.0247465060927192	-4.4631428553198615	-0.3650883203232833	-3.0922210684225835	-1.3273110275556275	-1.4677572758237756	-11.41308139534599	65.0
-0.9193324163262768	-7.077813723307747	-590.4064806795283	-755.6172122301022	-6.446326910105162	-6.921386048775229	-3.507138278399653	-4.253296324264237	-13.407079164355007	-1.0474988107960348	-3.7267483342586907	-0.40788801105238837	-3.5069981813052307	-1.2895688252891517	-1.3736329540748708	-11.445448916263972	70.0
-0.8667201125301263	-6.973742207111261	-680.4097611002393	-866.8781050346361	-6.9768220783303105	-7.19796726879799	-3.985490772163798	-4.379394850168423	-14.460144805386614	-1.0409634139454984	-3.8789214713417977	-0.5463493698609814	-3.9176093101019065	-1.4477700651324925	-1.3696844119359324	-11.469867744768713	75.0
-0.7845468365002379	-6.836385113250997	-767.6015664752513	-989.9391327203027	-8.087402986740218	-6.985080171819675	-4.342928204820617	-4.91668228654333	-15.314584317592999	-1.0409063341889815	-3.2214046467445465	-0.6777552589982678	-4.386608755809259	-1.158305545703056	-1.3513957227159739	-11.474625300672608	80.0
-0.6398322512296373	-6.690910308640543	-865.837058329209	-1106.231531644191	-8.782801543984542	-7.142569575703348	-4.746056234970739	-5.209114712708913	-15.920316300403378	-1.1705968634980626	-2.454170813315164	-0.745060834116011	-4.996028727637744	-1.189973981462221	-1.3718404385191305	-11.524074179789693	85.00000000000001
-0.35489419400860434	-6.963056026264323	-960.4832254779246	-1230.2019022123911	-9.99800387574897	-7.266411819621203	-5.324210989308627	-5.398809001945517	-17.01439124140168	-1.1987395172859672	-2.252927358140035	-0.9720558213538921	-5.54736714401452	-0.9480901431913857	-1.315817430827051	-11.53021323804009	90.0
