Feature_ID,Coef
Intercept,0.577682570446177
cg00059225,0.2459592072
cg00088042,0.1827155628
cg00252534,0.1682233547
cg00297950,0.1417577320
cg00384539,0.1782018830
cg00491255,0.1445077915
cg00521255,-0.2443627139
cg00648582,-0.0391461992
cg00771642,0.1277257292
cg00924265,-0.0685162703
cg00935119,-0.0381190384
cg00940577,-0.0612173060
cg01091514,-0.0322297827
cg01122755,0.0657109050
cg01162920,-0.1973567061
cg01194538,-0.1516093989
cg01264729,-0.1524237375
cg01311102,-0.1092162729
cg01529637,0.0268096353
cg01532168,0.3346559275
cg01616394,-0.0187100864
cg01639032,0.5150527014
cg01641432,-0.0013768351
cg01655150,-0.3276134918
cg01745370,-0.0058642977
cg01899542,-0.0509625965
cg02046143,-0.0077791091
cg02047661,-0.0171169346
cg02357838,0.2379734146
cg02361903,-0.5452233860
cg02397497,0.0762068373
cg02448244,0.0395555533
cg02504211,0.1344607469
cg02524236,-0.0584740181
cg02546818,0.0161623605
cg02583546,-0.0359673107
cg02795151,-0.0056270750
cg02983424,0.0569641058
cg03001484,-0.0258986560
cg03025830,0.1363172081
cg03040821,-0.0574852528
cg03048488,-0.1256682903
cg03591753,-0.4520824206
cg03594801,-0.0691301884
cg03613618,-0.1393547241
cg03633073,0.2446505657
cg03639603,0.0713357584
cg03710354,0.0001288644
cg03717616,-0.1918335816
cg03854598,0.1954321375
cg03864215,-0.3501438644
cg04031134,0.0207012272
cg04036898,-0.0001322331
cg04055913,-0.0657139280
cg04060163,-0.0111752014
cg04078896,-0.0120007210
cg04235075,0.2072076622
cg04315771,-0.0522219997
cg04370442,0.0767179671
cg04432319,0.3798338641
cg04604946,-0.1166148682
cg04684267,0.5610394830
cg04686264,0.0999632201
cg04704414,-0.0249741505
cg04834794,0.8635527436
cg04880546,0.0304142141
cg04913265,0.0550659777
cg05006304,-0.0996410121
cg05030953,-0.0121530469
cg05149386,-0.1053180942
cg05213896,0.0184434564
cg05280698,0.2597094227
cg05333146,0.1925212200
cg05362168,-0.0134173208
cg05396044,0.9444236984
cg05404236,0.0949139399
cg05444541,-0.0118706051
cg05634040,-0.0761376236
cg05724492,0.0347913872
cg05756780,0.0688837086
cg05785488,0.5812515149
cg05795849,-0.0377685372
cg05839636,-0.0709078118
cg06069616,-0.0128466261
cg06144905,0.0554813317
cg06236737,-0.4656742214
cg06385324,0.0801655714
cg06570818,-0.0040639491
cg06645033,0.2346339199
cg06648759,0.4067428682
cg06711656,0.1566360061
cg06751446,0.0835343241
cg06852461,-0.0063935461
cg07011538,-0.0337365753
cg07120479,-0.4293158152
cg07181374,-0.1310244796
cg07197480,0.0497859694
cg07461572,-0.0014445705
cg07544187,0.1988788420
cg07547549,0.0134357149
cg07550554,0.2486126007
cg07581257,-0.1444610753
cg07806886,0.0113100028
cg08097417,0.5598886343
cg08193650,0.0792224245
cg08370996,0.1242380039
cg08594681,-0.0976415942
cg08606497,-0.0136992332
cg08708711,0.0354090935
cg08727193,0.1118762901
cg08786136,0.1316706241
cg08952475,-0.0018342341
cg08995871,0.0004662991
cg09058748,0.0060929437
cg09124496,-0.0726600807
cg09178970,-0.0244848065
cg09254686,-0.2087675601
cg09363564,-0.1487782583
cg09372546,-0.0184370188
cg09407967,0.0765197289
cg09468836,0.0274704280
cg09664474,-0.7113230029
cg09731141,-0.0025650486
cg09810078,0.0398233047
cg09888620,0.2200476783
cg09906752,-0.0152489833
cg09935271,-0.0195523193
cg10027085,-0.0038364225
cg10104252,-0.0272235267
cg10225362,0.0419217205
cg10232140,-0.0178473969
cg10359006,-0.1063365930
cg10378521,-0.2043614517
cg10389229,0.0064150655
cg10460946,-0.2376023078
cg10501210,-0.3054859741
cg10574566,-0.0829054527
cg10790698,-0.1026348429
cg10851350,-0.0098492583
cg10904972,-0.0784357054
cg10924085,-0.0343679087
cg10961323,0.0117428981
cg11018337,0.1022731871
cg11071401,0.0030129817
cg11120115,-0.1945644472
cg11397957,-0.1287726309
cg11462165,0.1817344031
cg11565355,0.1151288539
cg11603443,0.1167598197
cg11719412,-0.0717140621
cg12024906,0.0516694698
cg12100751,0.0817428800
cg12175729,0.0713237693
cg12423733,-0.0653702673
cg12591491,0.2442137608
cg12597389,0.5583174966
cg12637942,0.1705579649
cg12950231,-0.0656435115
cg12978800,-0.1818210929
cg13099374,-0.0473964069
cg13259357,0.0368802283
cg13298199,-0.0971263521
cg13308350,-0.2068517219
cg13327545,0.1720218660
cg13477806,0.0334857761
cg13718185,-0.0024661087
cg13733708,-0.0027440957
cg13744194,0.0901097886
cg13755546,0.1621775795
cg13806267,0.0260121174
cg13848598,0.3115097404
cg14189141,0.1448652613
cg14242024,-0.0891087115
cg14343652,-0.4916113701
cg14489570,-0.0668353010
cg14507337,0.0465940259
cg14577472,0.0484973954
cg14611683,0.0548207675
cg14655122,0.2417095033
cg14704921,0.2151062375
cg14759277,0.1113205169
cg14871932,0.1086806607
cg15001747,0.4329836436
cg15022387,0.0444142200
cg15341124,0.9024363311
cg15393490,-0.8410718481
cg15410236,0.2138964752
cg15540623,-0.2615206806
cg15593298,0.3377350628
cg15638207,-0.6916680510
cg15665342,-0.0605596404
cg15718663,0.1170606732
cg15925792,-0.3071959692
cg15927455,-0.3584995534
cg15974867,0.0231495651
cg15988970,-0.0064278082
cg16121765,-0.0123588567
cg16142349,-0.2568507049
cg16148593,-0.0981527688
cg16206504,-0.0083123531
cg16339238,0.0014344479
cg16340422,-0.0292647382
cg16359034,-0.0461923093
cg16408865,-0.1234816387
cg16604975,0.0166626495
cg16643261,-0.1185515765
cg16703882,0.0966204627
cg16865965,-0.0417045020
cg16867657,0.1973864317
cg16909962,0.2661824241
cg17040471,0.0180002660
cg17086398,-0.2146143593
cg17117277,0.4144654365
cg17341113,1.4400657928
cg17411994,-0.0762993741
cg17435266,0.0616190519
cg17523253,-0.0670554097
cg17592231,0.6879903107
cg17640485,-0.3129539389
cg17693222,0.0031817543
cg18077971,0.0867302016
cg18125865,0.6584018374
cg18247055,0.0199941421
cg18279094,0.3565671106
cg18427787,-0.0441448390
cg18449120,0.0050035393
cg18468088,0.2298138368
cg18480946,0.0097990518
cg18504218,-0.0080730143
cg18514820,0.2228673127
cg18540328,0.0226132286
cg18549036,0.0004088495
cg18584803,-0.1976921119
cg18604199,-0.0521892281
cg18626323,-0.0303841076
cg19028706,-0.0901704154
cg19056004,-0.0433830212
cg19142026,0.2468743715
cg19230755,0.0027683706
cg19242851,-0.1708168682
cg19399220,0.2316751574
cg19416570,0.2172981101
cg19699893,0.1354872571
cg19724470,-0.0496927985
cg19802138,0.0114485801
cg19807317,-0.0546721137
cg19955173,-0.0675900818
cg20185454,0.1855906062
cg20198242,-0.0058133881
cg20429250,0.0221730141
cg20495179,-0.3422078477
cg20516262,-0.0036740579
cg20583430,0.0446563522
cg20594982,0.2006014317
cg20603637,0.0412345872
cg20627572,-0.0379409969
cg20697204,0.0413323570
cg20747577,-0.0067256561
cg20773033,-0.2050630430
cg20818778,0.0358953168
cg21010435,0.0012756681
cg21052766,-0.0232064866
cg21186299,0.0546531784
cg21218687,0.1254455299
cg21415530,0.0097591183
cg21581504,0.1031420533
cg21801378,0.3019193953
cg21826815,0.1490873912
cg21851534,-0.0365721410
cg21865150,-0.0024380522
cg21967909,0.1377835594
cg22007809,-0.0919512161
cg22131013,-0.0213741237
cg22285878,0.4909243076
cg22320999,-0.0141227368
cg22344793,0.0090141549
cg22363327,0.0637604946
cg22531668,0.0361734321
cg22661556,0.1035204679
cg22714290,-0.0507599472
cg22884541,0.1441782190
cg22900415,0.0435140263
cg23051272,-0.0698148628
cg23091758,0.1168530229
cg23124451,-0.3676633334
cg23163283,-0.1166280528
cg23166770,-0.4055405367
cg23174607,0.4702271839
cg23201812,-0.0043506088
cg23352942,-0.0709361462
cg23474190,-0.0992123411
cg23606718,0.2521570862
cg23636833,0.0540997869
cg23661344,-0.0953841342
cg23662138,-0.1453696106
cg23684204,0.3665637558
cg23813012,0.0964584058
cg23896431,0.1083481847
cg23939875,-0.0027468858
cg23995914,0.1305907558
cg24085039,-0.0266475682
cg24231804,-0.0610665034
cg24287218,-0.0578640294
cg24346776,0.0368896528
cg24377285,-0.0034625549
cg24420164,0.0114987504
cg24483655,-0.1180723774
cg24567591,0.0066302254
cg24715767,0.0344059523
cg24718465,0.0980722834
cg24933925,-0.0626709221
cg24990808,-0.0417351893
cg25007705,-0.2476066367
cg25018458,0.5196007756
cg25090514,0.5000665980
cg25114611,-0.1558847065
cg25201359,-0.3919138704
cg25459323,-0.0912803664
cg25922329,-0.0449030514
cg26092675,0.0928321315
cg26115633,0.2780140118
cg26161329,0.6498368308
cg26242531,-0.3438032824
cg26306636,0.6724718474
cg26332630,-0.0217054835
cg26377000,0.0683737067
cg26384036,0.0832048913
cg26472036,-0.2159494902
cg26490949,0.3937289555
cg26542283,0.0646067267
cg26645401,0.2380647418
cg26660754,-0.3879275936
cg26726230,0.0810718514
cg26782108,0.0939352626
cg26856080,0.2548499141
cg26885220,0.1573976217
cg26952697,-0.0575662733
cg26952796,-0.0916588250
cg27013696,0.1889075623
cg27043838,0.0073204722
cg27134767,-0.1281932414
cg27230784,0.1107855302
cg27388680,-0.1024365729
cg27414487,-0.0433870655
cg27529628,0.0177869327
ch.2.1904845F,-0.1201513614
ch.2.71774667F,-0.2699354347
