Feature_ID,Coef
Intercept,0
cg08461397,1.276403
cg03966449,1.156365
cg00574958,1.151691
cg03819713,0.96965
cg17901584,0.893295
cg06933816,0.875556
cg21420474,0.693049
cg25732961,0.671532
cg15107724,0.651154
cg05484949,0.571968
cg08577384,0.492847
cg12437873,0.474722
cg20396385,0.46516
cg02075454,0.460696
cg02311374,0.446317
cg06767142,0.431044
cg11082362,0.430082
cg20493718,0.422432
cg00467244,0.406692
cg03477609,0.373255
cg24730871,0.368157
cg04330884,0.352875
cg13676763,0.344762
cg10166888,0.343714
cg01930746,0.341358
cg23839792,0.329007
cg02071579,0.319257
cg06572420,0.306515
cg24002003,0.305745
cg15037541,0.294248
cg27106643,0.291957
cg22171829,0.288608
cg05119988,0.275009
cg00948664,0.274216
cg22911054,0.268192
cg14559212,0.26178
cg22078869,0.245557
cg22381454,0.244551
cg04301102,0.241977
cg25360929,0.2416
cg14483667,0.22634
cg15996284,0.224352
cg22017213,0.212573
cg02560388,0.199369
cg16293484,0.197177
cg23690804,0.191882
cg26612409,0.191308
cg13261536,0.190801
cg22479710,0.178266
cg21557875,0.174259
cg05946118,0.171361
cg04392284,0.167947
cg03173502,0.166719
cg03945948,0.162085
cg17501210,0.161502
cg12551567,0.160854
cg09580592,0.160584
cg04944536,0.159589
cg05073386,0.158316
cg14308466,0.157546
cg15282973,0.156607
cg19190217,0.156063
cg14101959,0.152453
cg23503796,0.151451
cg26456554,0.150995
cg16057915,0.14622
cg08635685,0.144335
cg26517679,0.14264
cg07244319,0.141776
cg15564619,0.140339
cg12453504,0.13975
cg02613418,0.137888
cg05575921,0.137762
cg24780865,0.135882
cg01986630,0.135421
cg26161057,0.134719
cg01231543,0.13426
cg14472025,0.133476
cg17400113,0.133302
cg23181900,0.133261
cg22746421,0.133102
cg08419567,0.131905
cg06599908,0.131576
cg19446790,0.129691
cg14658867,0.127947
cg16196274,0.126929
cg12723292,0.124179
cg23532300,0.12315
cg09365533,0.122258
cg08363339,0.121738
cg05507490,0.121243
cg14681207,0.120967
cg14019695,0.120428
cg08357827,0.118515
cg22198179,0.11464
cg09201499,0.113425
cg08098256,0.11238
cg11827998,0.11215
cg01798157,0.11028
cg06512974,0.110216
cg21206949,0.108896
cg11301492,0.108266
cg06190547,0.106884
cg00312919,0.103467
cg18991165,0.102568
cg02662003,0.101688
cg00497554,0.100253
cg19534769,0.099779
cg17560073,0.099001
cg10337956,0.096942
cg24346905,0.095907
cg09823288,0.094895
cg01766908,0.094006
cg22367886,0.093508
cg24691069,0.093014
cg00601042,0.092452
cg14022022,0.090073
cg26267310,0.089626
cg18349022,0.088667
cg20698421,0.088526
cg15860235,0.088332
cg24571086,0.087255
cg19919989,0.086969
cg03532709,0.086086
cg21512502,0.083495
cg01161877,0.083147
cg22297934,0.083061
cg19494960,0.081637
cg17494781,0.081147
cg22400166,0.080238
cg02483735,0.07953
cg05533953,0.079271
cg04101015,0.079081
cg15694422,0.079008
cg12292213,0.078453
cg17134770,0.078232
cg13044675,0.078067
cg05277165,0.077949
cg07988171,0.077206
cg21415450,0.077111
cg24334029,0.076537
cg14717946,0.074967
cg13824500,0.073221
cg05377587,0.071745
cg01268763,0.071341
cg22225207,0.071016
cg23375948,0.070933
cg01686522,0.069847
cg10189095,0.069337
cg27393730,0.068262
cg24166457,0.068117
cg13667389,0.067039
cg13225750,0.06674
cg00156551,0.065995
cg10835423,0.065241
cg17176676,0.064246
cg16993582,0.063912
cg21956337,0.063686
cg05033333,0.063582
cg18980263,0.063502
cg05303899,0.063054
cg25140531,0.062572
cg17821473,0.062516
cg26558591,0.061989
cg20290983,0.061615
cg00957698,0.059555
cg04220922,0.059428
cg12935818,0.05934
cg02459042,0.059044
cg11237934,0.058678
cg09130190,0.057304
cg13442495,0.057018
cg12613775,0.056887
cg15750986,0.055717
cg20479774,0.055297
cg17143376,0.055125
cg09390241,0.055028
cg11738976,0.055016
cg25870420,0.054648
cg17782954,0.053742
cg19453488,0.052903
cg03756940,0.052417
cg24549659,0.052323
cg08633745,0.051894
cg01746044,0.051851
cg11992736,0.051749
cg26401028,0.051711
cg15671450,0.05156
cg23035923,0.051285
cg05778706,0.050164
cg00242950,0.050124
cg20559217,0.049214
cg10393598,0.048916
cg24169315,0.047939
cg09806625,0.047617
cg10498083,0.04752
cg01742627,0.046777
cg08539067,0.046477
cg24187352,0.045927
cg01081346,0.045745
cg03976543,0.045192
cg14725968,0.044989
cg23935593,0.044706
cg25204172,0.044385
cg00209398,0.044196
cg14032732,0.044058
cg03899054,0.043646
cg07102229,0.042963
cg03738384,0.042948
cg17154092,0.042763
cg16208863,0.04259
cg07046369,0.041443
cg23428387,0.041223
cg04827223,0.041201
cg05608588,0.0411
cg20341251,0.041053
cg20768326,0.040134
cg06363968,0.0394
cg22351833,0.038749
cg01115598,0.038605
cg25500196,0.037809
cg17016890,0.037556
cg01777861,0.037391
cg24577933,0.037068
cg26221494,0.036756
cg02991085,0.035836
cg21756720,0.035155
cg19866622,0.034621
cg02336364,0.034568
cg11137145,0.033936
cg22591964,0.033388
cg05350800,0.033307
cg21239901,0.032768
cg17500703,0.032494
cg11638966,0.032128
cg14911395,0.03187
cg20305142,0.031786
cg16034991,0.031698
cg20713092,0.031587
cg08330435,0.03109
cg21327609,0.030937
cg13469425,0.030327
cg13850063,0.03006
cg05483176,0.029832
cg15181598,0.028768
cg11609469,0.028688
cg25705717,0.028565
cg02633398,0.028408
cg02774542,0.028267
cg15067806,0.028217
cg05722148,0.028192
cg07137955,0.028138
cg14531834,0.026967
cg27513586,0.026861
cg07455279,0.026701
cg25543755,0.026591
cg20691608,0.026224
cg26614624,0.025959
cg17024828,0.025783
cg26141173,0.02566
cg22039909,0.024726
cg11998932,0.024461
cg20854025,0.024224
cg27098685,0.02362
cg12538435,0.02353
cg20860806,0.023309
cg00202454,0.022934
cg07523741,0.022841
cg03399028,0.022706
cg19770748,0.022521
cg01515515,0.022489
cg16005271,0.022045
cg06361984,0.02135
cg17481903,0.021144
cg20623702,0.02113
cg19279342,0.021012
cg01427815,0.020933
cg25457886,0.020902
cg03651613,0.020773
cg09664479,0.020504
cg20710266,0.020021
cg18630580,0.019658
cg24512097,0.019347
cg20825710,0.019062
cg00614617,0.018842
cg21771682,0.018278
cg00487456,0.018192
cg10502244,0.018139
cg07464716,0.018118
cg26662007,0.017491
cg10652467,0.017395
cg20842915,0.017393
cg14029324,0.017344
cg10750464,0.016913
cg25204852,0.016875
cg16101574,0.01653
cg25325723,0.016294
cg02527881,0.015811
cg20003893,0.015203
cg11345693,0.015129
cg25789721,0.014671
cg26562532,0.014307
cg01639032,0.01424
cg09895325,0.014152
cg10072464,0.014108
cg21437028,0.013987
cg00058009,0.013906
cg15909132,0.013881
cg10363337,0.01364
cg18311678,0.013508
cg17051704,0.013261
cg15145296,0.013236
cg15392827,0.013183
cg07027075,0.012901
cg01448115,0.012861
cg02712555,0.012586
cg05232889,0.012513
cg12109260,0.012099
cg19693031,0.011098
cg00795791,0.010734
cg07779423,0.010645
cg01345727,0.010515
cg02940147,0.010402
cg25959131,0.009864
cg04537229,0.009678
cg16056964,0.009528
cg18344063,0.009392
cg01790032,0.009342
cg09257020,0.009328
cg08346127,0.009046
cg02254551,0.008944
cg07505719,0.008837
cg08819022,0.008463
cg24506221,0.008417
cg11410726,0.008395
cg11760395,0.007598
cg23067856,0.007459
cg18872420,0.00702
cg27438152,0.00695
cg06178669,0.006864
cg11505026,0.006846
cg15090440,0.006818
cg08247852,0.006728
cg07475922,0.006659
cg02331910,0.006354
cg11608390,0.006302
cg26344227,0.006013
cg02286717,0.005901
cg17744835,0.005835
cg24593832,0.005796
cg25010788,0.005777
cg04857395,0.005768
cg15971518,0.005463
cg02610813,0.005309
