Feature_ID,Coef
Intercept,65.7929500000
cg24611351,-0.001810743
cg24173182,-0.203954555
cg09604333,-0.703967823
cg13617776,-0.01152446
cg09432590,1.048977229
cg05516505,-0.142741946
cg12757684,-0.755070859
cg23606718,3.435948705
cg20050761,-0.025350039
cg22452230,-0.544894978
cg05898618,-0.896874469
cg01620164,-0.78746337
cg06758350,-0.068348923
cg23615741,-0.709323278
cg09692396,-1.467730219
cg02046143,-0.633992748
cg08540945,0.032782625
cg11714320,-0.866080964
cg22708738,0.129247386
cg21567504,0.653224054
cg08313880,-0.526706205
cg03527802,-0.078515351
cg23995914,0.619037498
cg04027548,-1.014454334
cg07077459,-0.033785982
cg03025830,0.100094497
cg07978099,-0.037325771
cg24349631,-0.029759709
cg04218760,-0.070729861
cg24788483,-1.45371163
cg11051055,0.158895418
cg16419235,0.947873046
cg07584066,0.296518538
cg01054110,-0.44941341
cg02001279,-0.380506398
cg00271522,-0.189180255
cg01055824,-0.383851961
cg23510258,-0.00745641
cg07248223,-0.333580663
cg17163168,0.09985833
cg18468088,1.7209435
cg03771840,0.272671204
cg27619353,-0.336007219
cg12477880,-0.162336024
cg23889772,-0.055482956
cg14224203,-0.004941908
cg04875128,1.351024811
cg23159704,-0.127342656
cg02355868,-0.086960086
cg14911690,1.646785588
cg23552977,-1.381985488
cg21186299,1.395712596
cg15220605,-0.033099979
cg19283806,-1.315231166
cg21251970,-0.092372305
cg01256539,-0.027634131
cg15277914,-0.275517327
cg05542681,0.196627408
cg22378065,-0.825476455
cg00910503,-0.034876292
cg05960039,-0.015274437
cg23744638,-0.853536471
cg26685941,-0.281598539
cg04861640,-0.143916081
cg06784991,2.252842545
cg24862131,-0.056099931
cg26147845,-0.09304394
cg22185977,-0.212529421
cg07955995,0.69061306
cg13917614,-0.236056257
cg14010720,-0.611986631
cg10804656,1.515233113
cg27432653,1.015083483
cg11832534,-0.066796522
cg16867657,7.32330146
cg21159778,0.177003501
cg22282410,0.030965802
cg14757228,0.246315383
cg14746276,-0.614163954
cg01873886,0.852443305
cg24745327,0.546919419
cg09935271,-0.073043521
cg11006267,0.120273813
cg22352234,-0.602948136
cg22454769,1.536666173
cg15648389,0.170367267
cg27455578,-0.085207402
cg17782713,-0.978543668
cg08276993,-0.049525498
cg04646282,0.074127327
cg07536102,0.150337595
cg00302979,-0.22430334
cg03032497,0.326782357
cg10658666,0.084471214
cg05546763,0.580843567
cg14098795,-0.699919767
cg04621728,-0.118887064
cg12939283,-0.15340472
cg13824500,0.013281278
cg02497428,-0.005711491
cg22358580,0.795711774
cg06574422,0.642551399
cg00797278,-0.503827692
cg23008153,-0.459069614
cg11271171,0.048168647
cg15900052,0.239002138
cg12948621,0.217174276
cg02272599,0.005234992
cg23510764,-0.373471881
cg14847502,0.24660497
cg26614073,-0.270510605
cg04084157,0.156221687
cg01511232,0.174338675
cg10495047,0.016887752
cg24550456,0.295684532
cg24169822,0.05280825
cg22016779,-0.28934219
cg23712970,-0.672194449
cg03619256,0.644650648
cg13409704,-0.373199314
cg03646329,0.127561099
cg16608498,0.427344608
cg01196788,0.183148739
cg17243289,2.177026303
cg18343474,0.25209695
cg18310639,-0.370168736
cg16584662,0.000583156
cg03633574,0.022034382
cg19789753,-0.009225939
cg24883498,-0.459499348
cg04836038,1.223784276
cg20761322,0.035391385
cg19596273,1.515039783
cg16618104,-0.335581596
cg12419932,0.515325824
cg17254383,0.025094519
cg27447740,-0.136931102
cg00756943,0.007002261
cg10905180,-0.192219735
cg06805925,0.555787021
cg05324516,-0.002680325
cg01364769,-0.334455504
cg20052760,-0.233508236
cg08761208,-0.04737028
cg08573679,-1.110481737
cg07172885,0.043124404
cg23808301,-0.572061884
cg23357854,-0.316937053
cg04662594,-0.12017328
cg24620508,0.058482011
cg22296808,0.018836606
cg12424329,-0.191603895
cg05262777,0.15541559
cg22809047,1.190272835
cg08908643,0.325777755
cg12788037,0.346086524
cg11067179,0.997658956
cg14314729,-0.203289206
cg11718162,0.003816019
cg25415508,-1.087983964
cg07502389,1.303758965
cg25450819,0.077046275
cg14359680,-0.298554151
cg13278496,0.020487772
cg24987259,-1.331696774
cg15110296,-0.623739279
cg23361092,0.456956503
cg25149218,0.001484268
cg18450254,-0.014959
cg13937040,-0.199382095
cg15339075,0.01677588
cg26116103,-0.083974216
cg14753631,0.349387359
cg15936446,1.114418181
cg12649038,0.076683951
cg03163545,-0.294133435
cg07207669,0.621856533
cg25305703,0.091546266
cg22682373,0.35083019
cg07717903,0.019820879
cg06326667,-0.419070181
cg10619342,-0.089788909
cg25618424,1.123318531
cg03638795,-1.071968124
cg07319199,0.004195472
cg14776578,-0.077708114
cg20322193,0.326624228
cg23460961,-0.0062373
cg21867345,0.32751617
cg24090911,0.084339279
cg09624858,0.109876883
cg13663218,-0.633063539
cg06819923,-0.699001794
cg19663246,-0.233380622
cg14209784,-1.251270664
cg23836737,-0.593375864
cg22793142,-1.285135233
cg26725786,0.076334097
cg03467555,0.093970162
cg08397927,-0.921548089
cg03788004,-0.127939151
cg13491731,0.089107047
cg01542719,-0.001797703
cg19343530,0.126649645
cg01792616,0.052214553
cg22156456,-0.965308957
cg10036013,0.032977291
cg18064714,0.037971037
cg12068124,-0.009538888
cg24696028,-2.330841319
cg12934320,0.052417123
cg22197050,0.491842684
cg22517995,0.916688579
cg03261929,0.154854008
cg07825606,-0.18251497
cg27021512,-0.937957091
cg00463859,-0.737305824
cg13029847,2.731228468
cg18125510,-0.086145285
cg05915866,-0.385069372
cg03773862,0.334015694
cg16717122,0.136882817
cg15603896,0.008538719
cg19505546,0.016500502
cg20149168,0.647835745
cg04105923,-0.497917371
cg18335931,-0.194808744
cg11653233,0.187455256
cg07211259,-1.738807156
cg25386151,-0.62901848
cg20492951,-0.73291529
cg15338967,0.975162166
cg01433297,0.014775518
cg15845821,-0.005911677
cg08329113,0.452213107
cg07374224,0.057759984
cg01222316,-0.677516005
cg06068163,-0.340401146
cg06526721,-0.012980219
cg21072934,-0.018348212
cg10772169,-0.19443915
cg06493994,1.288594657
cg23078123,-1.398340641
cg00717297,-0.02907234
cg26668490,-0.073120392
cg25410668,2.017650881
cg01844642,0.639673553
cg10106965,-0.163369623
cg27168858,0.068255862
cg08038054,-0.287914934
cg21184711,0.381119054
cg01176329,0.165037093
cg02151816,0.216946278
cg02533423,0.118670446
cg07320140,-0.363922508
cg13033858,0.028448188
cg12968224,0.148139926
cg05294577,-0.056293763
cg07082267,-2.338617379
cg18875012,-0.038585596
cg21631428,0.190947249
cg01528542,-1.196182345
cg24845578,-0.957580586
cg00793186,1.600733345
cg06648759,2.722150815
cg20665157,0.382982664
cg15059474,0.392933648
cg07571951,-0.518755522
cg09524078,-0.013511793
cg24350475,-0.88792716
cg06457011,-0.051596371
cg23538901,0.039577202
cg05308819,-2.36562411
cg26483332,-1.239420389
cg18240463,-0.024787216
cg03915012,-0.766354623
cg01820962,-0.805126521
cg01794929,0.683455844
cg02452500,0.154507584
cg14162417,1.088975864
cg20988565,-0.187166434
cg27338353,0.071742021
cg23900712,0.295901259
cg09383860,-0.608708088
cg12899747,-0.519946767
cg01226614,0.058019225
cg06852243,0.201883937
cg00753885,-0.972729095
cg04092800,-0.016604082
cg27059819,0.306525091
cg06685111,-0.810504635
cg08963419,-0.739689794
cg06083669,0.471667637
cg13388466,0.034574555
cg00925087,0.065492588
cg15393490,-0.989495701
cg07810190,0.156401752
cg04604946,-2.370599206
cg10052840,-0.411192399
cg21563471,-0.373101031
cg00805193,-0.240005366
cg23174607,0.01455831
cg12258344,-1.136271287
cg01141812,0.138695553
cg20324262,-0.02954713
cg05310309,0.177302241
cg12506930,0.228429749
cg02426324,0.001024724
cg02181968,-0.944250329
cg25309888,0.077441039
cg16477091,0.028870683
cg27430293,-0.626291304
cg09652142,-0.612585285
cg04709900,-1.340599898
cg20960181,0.022992331
cg07547549,2.869082323
cg06836406,0.109439748
cg25178749,-0.081828324
cg06335143,0.621788673
cg07850154,-1.45068781
cg08468401,-0.31667041
cg01738984,-0.006732196
cg08822715,-0.428658538
cg07073120,-1.786245347
cg03607117,3.413247122
cg15553770,0.019716939
cg21515349,0.79091956
cg07101980,-0.179984186
cg11830800,-0.341398049
cg23858532,0.509127249
cg09809672,-0.394338805
cg24150153,0.838969746
cg07095347,-0.062580356
cg22881141,0.724962433
cg01055871,-0.170748361
cg00548098,0.631354573
cg24091819,0.052285916
cg22112832,-0.156971711
cg01356950,-0.178263311
cg21949781,-0.801373738
cg08151809,-0.894466474
cg00241664,-1.025371651
cg03984502,1.473177249
cg04955333,-0.904788878
cg03232933,0.11140085
cg05694095,-0.012951229
cg24711649,-0.349263279
cg18917643,0.187074171
cg09748749,-0.29068707
cg13612317,-0.382691164
cg17110586,1.767884165
cg20756600,-0.077993166
cg18537454,0.068831046
cg19583819,1.192319506
cg20525917,0.032315279
cg19722847,-0.665412868
cg21860825,0.068499582
