Feature_ID,Coef,Coord
Intercept,60.664,
cg15611364,63.12415047,Chr3_25806427
cg17605084,-44.00939313,Chr12_53177758
cg26382071,40.42085373,Chr17_6485627
cg12743894,36.7881845,Chr11_30301513
cg19287114,-36.49384395,Chr9_107046432
cg12985418,-35.90008808,Chr18_17574536
cg19398783,35.83308293,Chr4_38460973
cg15963417,-34.69842764,Chr12_101835430
cg27187881,-33.54555855,Chr22_40796291
cg09892203,-33.4823461,Chr17_62391602
cg00943950,33.47697933,Chr5_133734820
cg18996776,33.05057141,Chr3_161766697
cg16340918,32.14665692,Chr10_94342680
cg23832061,-31.90246973,Chr6_109868360
cg22736354,31.84219355,Chr6_18230698
cg04084157,31.62165709,Chr7_100595769
cg07265300,28.3980076,Chr2_24199504
cg02503970,25.58514041,Chr8_134653327
cg11426590,-24.78579343,Chr1_33420441
cg23710218,24.15870289,Chr8_72919210
cg02802055,-24.11715679,Chr9_131636915
cg13631913,23.83805501,Chr1_9522932
cg06493994,23.37207957,Chr6_25760581
cg24304712,23.3003573,Chr1_242691408
cg01131735,-22.91466682,Chr17_37221945
cg24208206,22.54068526,Chr3_46011575
cg01930621,-21.78792705,Chr19_57100162
cg19104072,-21.59866911,Chr11_65871352
cg07850604,21.31021579,Chr14_35073194
cg27493997,-21.2007229,Chr1_154942016
cg14281160,21.11147672,Chr12_64811210
cg12247247,-20.75342001,Chr17_34263387
cg08331960,-20.70742942,Chr16_2016598
cg17726022,20.18800473,Chr12_44948688
cg19722847,-20.14577056,Chr12_30740381
cg21801378,19.61967861,Chr15_70399179
cg03977782,19.45230678,Chr3_114734370
cg03929796,-19.41008226,Chr3_52206880
cg01254459,19.18438139,Chr14_52243641
cg09548179,-19.0323049,Chr16_2510493
cg09556292,-18.61940178,Chr14_102128568
cg17896249,18.0100431,Chr16_65783488
cg26091688,-17.94903039,Chr16_3225404
cg17009433,17.3157834,Chr9_6635686
cg06690548,-17.31209095,Chr4_139382258
cg26815229,-17.14738745,Chr1_60165521
cg15447479,17.06265852,Chr7_128616001
cg27015931,-16.80473407,Chr16_21919905
cg13550877,-16.79028681,Chr14_76959735
cg05492270,-16.73113119,Chr11_71317733
cg22594309,16.6352922,Chr1_200946127
cg08896629,-16.3038063,Chr19_10352577
cg11237115,-16.243299,Chr3_184836116
cg04736140,-16.11768623,Chr1_166371941
cg06533629,16.05623965,Chr7_130069910
