Feature_ID,Coef
Intercept,0
cg03005261,0.472261
cg21637050,0.273176
cg16728516,0.23188
cg14267725,0.208907
cg06500161,0.182255
cg04804648,0.127619
cg18909879,0.089367
cg25921813,0.086272
cg21020089,0.0852
cg16284674,0.074405
cg15092239,0.061606
cg07769588,0.057956
cg07215298,0.053719
cg09249494,0.052132
cg10474597,0.051746
cg11832534,0.048844
cg25110523,0.047727
cg04453364,0.046123
cg19519737,0.04307
cg18515624,0.04154
cg18054578,0.035367
cg18011760,0.031548
cg08563994,0.030331
cg01616956,0.029633
cg02079413,0.027558
cg06192883,0.026698
cg15132749,0.024433
cg22669566,0.023989
cg25349939,0.023213
cg04816311,0.02202
cg26971585,0.022016
cg13414444,0.020171
cg02459416,0.020112
cg15512289,0.019653
cg15551881,0.019344
cg02339083,0.018764
cg21935981,0.018481
cg09132473,0.017029
cg26325791,0.016935
cg24009074,0.015716
cg18194850,0.015594
cg10107671,0.014862
cg10928544,0.014771
cg14656657,0.014737
cg02417857,0.014546
cg02544829,0.014516
cg07728579,0.014419
cg27619353,0.013035
cg02716317,0.01189
cg06534208,0.011251
cg08082792,0.010832
cg07769421,0.010655
cg14628343,0.009799
cg01101459,0.009398
cg25037335,0.009004
cg03663120,0.008975
cg23761815,0.00851
cg17159699,0.008453
cg06022942,0.008147
cg11468085,0.007914
cg26522297,0.007613
cg13985817,0.006937
cg19918549,0.006214
cg07729082,0.005855
cg25604594,0.005731
cg17908602,0.005574
cg08836375,0.005292
cg16495581,0.005157
cg14127188,0.00508
cg16627650,0.004707
cg10104252,0.004491
cg08864105,0.004145
cg22159421,0.004054
cg24430034,0.003755
cg01962183,0.003552
cg06133097,0.003515
cg23744638,0.003485
cg06048436,0.003388
cg20793665,0.003247
cg23737927,0.003181
cg14265537,0.003055
cg12893697,0.002784
cg19328828,0.002488
cg19827875,0.002382
cg16336248,0.002316
cg26009192,0.002257
cg20485607,0.001865
cg07366506,0.001755
cg16688500,0.001622
cg09774931,0.001345
cg19352726,0.001302
cg00089528,0.001212
cg11959399,0.00117
cg08323540,0.001122
cg12934788,0.001064
cg10828284,0.00088
cg10774282,0.000831
cg14970695,0.00081
cg18604215,0.000778
cg26103104,0.000518
cg03318904,0.000485
cg15721584,0.000337
cg17473794,0.000213
cg20428033,7.96E-05
cg23719516,2.95E-05
cg01975495,1.01E-05
cg10308785,-4.40E-05
cg04424621,-0.00026
cg20908276,-0.00055
cg08641963,-0.00072
ch.8.128185533F,-0.00073
cg00897404,-0.0009
cg24733384,-0.00102
cg05487507,-0.00175
cg19856897,-0.00179
cg16558846,-0.00266
cg14194875,-0.00288
cg17901584,-0.00295
cg16240060,-0.00306
cg01017541,-0.00311
cg19893929,-0.00319
cg17058475,-0.0032
cg27406983,-0.00357
cg20154657,-0.00399
cg12138780,-0.00435
cg25710815,-0.00451
cg14179389,-0.00463
cg26836171,-0.00486
cg03765692,-0.00493
cg17061862,-0.005
cg17768768,-0.00507
cg19148440,-0.00536
cg17222645,-0.00555
cg25078444,-0.00582
cg02058628,-0.0059
cg03897456,-0.00617
cg11580493,-0.00633
cg01415344,-0.00649
cg20152539,-0.00681
cg26086899,-0.00704
cg22987448,-0.00718
cg07573872,-0.00742
cg05768922,-0.00807
cg02707176,-0.00815
cg04314111,-0.00815
cg10980495,-0.00837
cg26503877,-0.00843
cg11376147,-0.00857
cg19276014,-0.00947
cg00166216,-0.00957
cg18684041,-0.00984
cg24169315,-0.00987
cg10208269,-0.01033
cg15012027,-0.01054
cg03658384,-0.0107
cg00378510,-0.01096
cg07788167,-0.01122
cg20450507,-0.01144
cg01682111,-0.01154
cg21429551,-0.01188
cg10640833,-0.0119
cg16823009,-0.01276
cg20549250,-0.01293
cg20052079,-0.01317
cg08994060,-0.01369
cg00827581,-0.01372
cg05842815,-0.01423
cg06693138,-0.01489
cg08267072,-0.01555
cg10537193,-0.01579
cg22865720,-0.01652
cg15416179,-0.01697
cg22381454,-0.01747
cg26668858,-0.01923
cg06690548,-0.01951
cg18715511,-0.01977
cg07088950,-0.02004
cg22534374,-0.02062
cg19102621,-0.02106
cg10421188,-0.02121
cg04432599,-0.02146
cg21566642,-0.02201
cg05946118,-0.02217
cg14514032,-0.02258
cg23051272,-0.02492
cg24904943,-0.02555
cg17766560,-0.02654
cg22612448,-0.0267
cg22822893,-0.02698
cg15691775,-0.02825
cg03746015,-0.02898
cg21066448,-0.02999
cg08714407,-0.03108
cg26921611,-0.03209
cg20710777,-0.03475
cg17066943,-0.03512
cg14476101,-0.0404
cg08326417,-0.04285
cg23692193,-0.04627
cg00879184,-0.0466
cg08548559,-0.04665
cg07070043,-0.04932
cg15921773,-0.05203
cg11802765,-0.05236
cg02650017,-0.05265
cg16398761,-0.05289
cg11655390,-0.05295
ch.6.33611621F,-0.05333
cg05290695,-0.05375
cg08479571,-0.05559
cg06946797,-0.05586
cg01787285,-0.0652
cg09222732,-0.06638
ch.2.30415474F,-0.0678
cg05603985,-0.06921
cg26950531,-0.0695
cg13725899,-0.07357
cg00460789,-0.08517
cg17649599,-0.09182
cg10426084,-0.11251
cg19224713,-0.12216
cg16704712,-0.12594
cg07017994,-0.12794
cg21763598,-0.1285
cg11133895,-0.15994
cg00574958,-0.52088
