Feature_ID,Coef
cg26832552,1.870274
cg19631443,1.753468
cg17901584,1.734639
cg01185855,1.548875
cg16000331,1.445273
cg09984392,0.911082
cg25739715,0.842405
cg05119988,0.607009
cg05922723,0.577074
cg20113693,0.555422
cg19201009,0.503527
cg07839457,0.498492
cg02901884,0.470432
cg02823783,0.470009
cg03281139,0.427837
cg16533147,0.416853
cg03639897,0.390848
cg08912317,0.378267
cg06572420,0.363392
cg03443112,0.360924
cg00448707,0.354302
cg00917847,0.337951
cg22813794,0.320122
cg00908766,0.319365
cg01634275,0.311723
cg23594461,0.311707
cg04254198,0.308392
cg12054453,0.304752
cg01242196,0.286293
cg26500914,0.269396
cg23900422,0.24455
cg05541367,0.237909
cg09373015,0.235701
cg18997433,0.232958
cg23815491,0.223854
cg13899478,0.222517
cg03826642,0.212256
cg09978077,0.191862
cg15727287,0.180347
cg00373376,0.176758
cg10249997,0.167523
cg02320083,0.132908
cg01959050,0.130449
cg26337020,0.126734
cg18998321,0.126357
cg22062555,0.124734
cg01115389,0.119573
cg21926612,0.10988
cg26769927,0.109757
cg26644049,0.109457
cg07281125,0.108735
cg01041239,0.108323
cg13435263,0.09863
cg02749887,0.098328
cg15148918,0.091302
cg13423098,0.089875
cg26744056,0.084473
cg22935921,0.081494
cg11739633,0.079997
cg08864105,0.079945
cg19495969,0.078075
cg18779601,0.076108
cg07085632,0.074672
cg05137443,0.070837
cg07552087,0.065149
cg20421482,0.061512
cg27209741,0.060012
cg07671805,0.056897
cg05512200,0.055137
cg17107156,0.054906
cg25765464,0.052035
cg05845533,0.047195
cg22425359,0.04442
cg05780543,0.042746
cg06565641,0.042613
cg16411857,0.040728
cg16877615,0.040664
cg26141173,0.037896
cg19037007,0.037605
cg17540192,0.031915
cg00914384,0.029974
cg07871442,0.027296
cg27266060,0.027065
cg14768256,0.025403
cg25242471,0.022542
cg01243312,0.021717
cg05122437,0.021447
cg12897067,0.019775
cg11848748,0.017882
cg08934126,0.016679
cg17974166,0.015239
cg23613051,0.012499
cg05852052,0.012495
cg06118351,0.011735
cg05306310,0.011725
cg06679494,0.010667
cg07676517,0.010577
cg25325723,0.006864
cg25597117,0.0065
cg11132536,0.00509
cg18535611,0.004086
cg03995300,0.000849
cg03426198,-0.00154
cg17371170,-0.0021
cg00388605,-0.00267
cg24669602,-0.00558
cg16133681,-0.00587
cg05729249,-0.00913
cg27404186,-0.00974
cg02376282,-0.01133
cg18789547,-0.0148
cg07109358,-0.01885
cg07955995,-0.01899
cg03641066,-0.02163
cg14662585,-0.02638
cg07015784,-0.0314
cg27269488,-0.03196
cg21869046,-0.03386
cg27557134,-0.03902
cg16214653,-0.0418
cg20336809,-0.04371
cg16171105,-0.04476
cg24810594,-0.04596
cg08036553,-0.04676
cg06580371,-0.04742
cg23939865,-0.04883
cg05061450,-0.04894
cg21780326,-0.0491
cg15798837,-0.05281
cg27113091,-0.05676
cg10551270,-0.05679
cg06759629,-0.05969
cg26657240,-0.06315
cg04164190,-0.06326
cg15376007,-0.07003
cg19761640,-0.07129
cg13455700,-0.07427
cg08902683,-0.07853
cg26102435,-0.07876
cg16007541,-0.08095
cg00689492,-0.08327
cg06153927,-0.08424
cg26685941,-0.08512
cg02444300,-0.08839
cg15471501,-0.09201
cg08230059,-0.09785
cg11176990,-0.10247
cg26383138,-0.11085
cg21033440,-0.11764
cg08517131,-0.11941
cg15234946,-0.12247
cg10409131,-0.13078
cg07219494,-0.13262
cg06800849,-0.13403
cg05904366,-0.1407
cg12730088,-0.14129
cg14381623,-0.14198
cg05450916,-0.15427
cg22325823,-0.1582
cg04755771,-0.1626
cg12700904,-0.1641
cg04780909,-0.16732
cg25823085,-0.17506
cg09432234,-0.17743
cg14109822,-0.19125
cg13982366,-0.19329
cg10271547,-0.20127
cg05960502,-0.20268
cg22242842,-0.20824
cg23874606,-0.21312
cg08284443,-0.2148
cg14435720,-0.21539
cg04915975,-0.21977
cg04396791,-0.22022
cg05715492,-0.22167
cg08489623,-0.23291
cg06500161,-0.25852
cg14911690,-0.28009
cg06688763,-0.28119
cg01651915,-0.28238
cg21785034,-0.28902
cg06197571,-0.29058
cg19507267,-0.29292
cg25385819,-0.31771
cg17061862,-0.31886
cg14003621,-0.31938
cg00473416,-0.36616
cg05870739,-0.37047
cg13591673,-0.37172
cg07070138,-0.40066
cg22896075,-0.44895
cg04927341,-0.46039
cg16707405,-0.50348
cg06690548,-0.54207
cg25115537,-0.55889
cg11302515,-0.65185
cg27075187,-0.66161
cg17739046,-0.71136
cg04614997,-0.90102
cg09203880,-1.11341
cg00701514,-1.11588
cg15133301,-1.41979
cg09848445,-1.88001
cg00574958,-4.58282
