Feature_ID,Coef
Intercept,0.71
cg19283806 ,-0.59
cg11807280 ,-0.21
cg00329615,0.01
cg22454769,0.05
cg16867657,2.15
cg22796704,-0.69
cg09809672,-0.64
cg18618815,-0.77
cg25533247,0.12
cg02286081,-0.23
cg20222376,0.003
cg19344626,-0.06
cg07082267,-0.22
cg15845821,1.54
cg11741201,0.34
cg16054275,0.19
cg18933331,-0.41
cg20249566,-0.78
cg16604658,0.50
cg07583137,0.06
cg16008966,-0.39
cg14556683,0.10
cg03746976,0.02
cg14314729,0.27
cg03431918,-0.26
cg22156456,0.25
cg23078123,-0.73
cg09748749,-1.14
cg17457912,-0.06
cg06492796,-0.20
cg17593342,0.86
cg05308819,-0.89
cg22512670,-0.33
cg01820962,-0.85
cg06639320,1.92
cg03224418,0.92
cg17436656,-0.07
cg19500607,0.52
cg03735592,0.32
cg20669012,0.38
cg19761273,0.03
cg07080372,-1.46
cg03638795,-0.27
cg19722847,-0.59
cg24711336,0.64
cg26935102,0.47
cg10221746,0.27
cg02085953,-0.64
cg04604946,-1.11
cg08558886,-0.17
cg22361181,0.66
cg04208403,-0.09
cg12623930,0.09
cg21572722,-0.43
cg17885226,0.33
cg00748589,2.54
cg13033938,-3.63
cg19784428,0.10
cg22016779,-0.43
cg01974375,-0.41
cg25256723,-0.27
cg24724428,0.70
cg07547549,-0.11
cg25410668,0.28
cg21296230,0.93
