Feature_ID,Coef
cg17140673,2.3405
cg16000331,1.773404
cg26832552,1.423056
cg01185855,1.208232
cg09984392,1.07889
cg02823783,0.920291
cg05922723,0.675313
cg03281139,0.570111
cg25158622,0.508476
cg13899478,0.451094
cg03639897,0.450157
cg04816311,0.44724
cg22813794,0.442218
cg08912317,0.404049
cg08864105,0.397433
cg01959050,0.393641
cg00908766,0.38055
cg16533147,0.380221
cg23594461,0.371559
cg01242196,0.354332
cg01041239,0.328643
cg18997433,0.324377
cg01634275,0.324343
cg07015911,0.312923
cg00917847,0.31067
cg03546163,0.298456
cg09397900,0.297876
cg26500914,0.294987
cg19631443,0.294828
cg14262937,0.28664
cg03443112,0.27107
cg02250764,0.268243
cg24033491,0.264328
cg18998321,0.258316
cg19201009,0.250352
cg09503194,0.238846
cg04228827,0.229822
cg10168894,0.227075
cg04259358,0.207696
cg23815491,0.205607
cg07839457,0.205407
cg08365388,0.202461
cg11739633,0.198934
cg26221992,0.193494
cg09975683,0.180372
cg06017559,0.180303
cg15661251,0.167383
cg19197744,0.165621
cg10427040,0.164503
cg10249997,0.163037
cg13435263,0.160382
cg06942649,0.152605
cg00326464,0.15233
cg20983032,0.15203
cg13817395,0.146504
cg25484139,0.143252
cg07671805,0.13874
cg05137443,0.138644
cg06989610,0.137943
cg23719713,0.137521
cg09442489,0.126656
cg03309252,0.125377
cg26631505,0.123412
cg11063328,0.108389
cg01739960,0.107032
cg05780543,0.097454
cg00632560,0.095749
cg25631249,0.093971
cg07871442,0.092005
cg03826642,0.089054
cg18329931,0.088008
cg21560142,0.086558
cg07676517,0.081651
cg16875057,0.079675
cg22062555,0.077075
cg00089528,0.074631
cg07298547,0.073787
cg01511534,0.06399
cg01331772,0.060325
cg18078387,0.059837
cg05512200,0.056955
cg26033520,0.050935
cg03663120,0.050238
cg23951171,0.049995
cg12643293,0.047726
cg23301925,0.046659
cg15727287,0.046198
cg25765464,0.045868
cg27266060,0.04531
cg23231462,0.045054
cg19922871,0.044055
cg13915212,0.043991
cg04008888,0.04204
cg16871994,0.04152
cg12011876,0.037483
cg00903584,0.037243
cg06118351,0.037213
cg22881941,0.035446
cg12051615,0.033765
cg00043004,0.033657
cg26684363,0.029183
cg07070348,0.027407
cg16861241,0.02662
cg24751378,0.026068
cg22935921,0.026029
cg14254433,0.025415
cg24439315,0.024881
cg05122437,0.023939
cg14768256,0.021869
cg18587364,0.021259
cg15214448,0.020901
cg11223373,0.020827
cg12482092,0.019314
cg17381565,0.018227
cg15148918,0.01757
cg08367326,0.017413
cg24591105,0.017094
cg08323540,0.016768
cg16411857,0.014821
cg10935612,0.012856
cg16877615,0.011078
cg06565641,0.010561
cg03359964,0.008701
cg04120400,0.00772
cg17540192,0.007298
cg07023867,0.006022
cg13640225,0.004879
cg26429499,0.004637
cg09150140,0.002725
cg18535611,0.002184
cg23613051,0.001481
cg11265839,-4.29E-06
cg19407385,-0.00158
cg00242950,-0.00555
cg04164190,-0.00767
cg27557134,-0.00778
cg04838847,-0.00911
cg16496269,-0.00965
cg19761640,-0.01169
cg01618914,-0.01273
cg25385819,-0.01346
cg10379472,-0.01574
cg25138484,-0.01692
cg10409131,-0.01825
cg09664479,-0.02577
cg20119532,-0.02637
cg14246568,-0.02649
cg07640648,-0.02768
cg11669516,-0.02785
cg03108070,-0.0279
cg16767506,-0.03
cg09584650,-0.03035
cg25486571,-0.03237
cg21033440,-0.03305
cg16421616,-0.03359
cg24794228,-0.03425
cg17935297,-0.03841
cg07955995,-0.04285
cg17942639,-0.04404
cg09470142,-0.0482
cg26102435,-0.05056
cg12938556,-0.05221
cg01044608,-0.05332
cg13424940,-0.05372
cg27113091,-0.05609
cg05061450,-0.05647
cg08309687,-0.05758
cg07070138,-0.05949
cg16171105,-0.06129
cg07109358,-0.06281
cg14558114,-0.06471
cg09328979,-0.0687
cg14662585,-0.07402
cg03961824,-0.07959
cg06197571,-0.08493
cg08065963,-0.08554
cg26685941,-0.08602
cg08464831,-0.088
cg26503877,-0.09802
cg26686608,-0.09836
cg05870739,-0.09871
cg14381623,-0.10142
cg08230059,-0.10357
cg06688763,-0.10425
cg20489026,-0.10892
cg10022248,-0.10923
cg22325823,-0.11398
cg04168474,-0.12429
cg18709110,-0.12469
cg16707405,-0.12558
cg19561908,-0.13526
cg09432234,-0.14028
cg05982473,-0.1447
cg25629768,-0.1459
cg02376282,-0.15718
cg18789547,-0.17292
cg07219494,-0.18321
cg17371170,-0.18359
cg00701514,-0.19251
cg15234946,-0.19363
cg14109822,-0.19449
cg14003621,-0.1951
cg06759629,-0.19936
cg16007541,-0.20367
cg11176990,-0.21355
cg08517131,-0.22421
cg13982366,-0.24694
cg03173502,-0.25939
cg05774054,-0.27619
cg21785034,-0.28644
cg24678095,-0.34329
cg06690548,-0.36924
cg20879085,-0.39389
cg14911690,-0.39891
cg05960502,-0.40933
cg01651915,-0.43912
cg11302515,-0.5087
cg03078551,-0.51731
cg22896075,-0.56162
cg27586885,-0.57319
cg25115537,-0.59395
cg09010671,-0.67962
cg04927341,-0.68128
cg25131632,-0.68296
cg17061862,-0.70025
cg01199327,-0.75063
cg05904366,-0.78424
cg17739046,-0.80765
cg04780909,-0.94636
cg09203880,-1.2206
cg09848445,-1.70183
cg15133301,-2.10919
cg00574958,-9.14308
