Feature_ID,Coef
Intercept,73.99471349
cg00292662,3.628385522
cg00398048,-0.517797951
cg00642303,4.090163718
cg00944884,-1.821034403
cg01268763,-0.773676135
cg01485645,3.424665877
cg01594262,-0.207073785
cg01658815,-0.0517936
cg01868782,0.231063304
cg01883195,0.983631369
cg01909487,2.26932921
cg01918888,-1.079769045
cg02008416,0.632169324
cg02261346,0.851207421
cg02309594,0.557698501
cg02523400,0.226888337
cg02982734,0.059751738
cg03138405,3.698779308
cg03192551,2.339400914
cg03199651,0.808999526
cg03265671,0.821045397
cg03431064,12.07385094
cg03454353,-0.423394162
cg03503905,-14.74770671
cg03557698,-0.507713857
cg03628719,-4.448700589
cg03671597,1.634994751
cg03688818,4.605790281
cg03807873,2.645819114
cg04232649,7.881120781
cg05001145,0.848300405
cg05019423,-1.313434559
cg05222924,0.135436817
cg05314075,-0.600626287
cg05451974,7.487819117
cg05470074,0.50722001
cg05989429,-0.138847543
cg06171420,0.287093969
cg06244906,0.02035296
cg06318164,-0.941742069
cg06466797,-22.50684946
cg06507244,-1.442558948
cg06557606,-1.147573892
cg06613840,3.866794564
cg06727198,0.492981341
cg06766367,0.083867958
cg06935608,0.249138315
cg07104660,0.059624629
cg07295034,0.21655657
cg07301044,0.201352947
cg07703358,-3.325941007
cg07917796,0.069110155
cg08072101,0.174484481
cg08138505,-2.557655366
cg08147886,-2.132464929
cg08162780,-0.040604685
cg08364767,5.199041534
cg08952029,-0.46986421
cg09095562,1.130334369
cg09298623,0.579571392
cg09511421,0.237304182
cg09538452,-0.519548354
cg09907395,4.480990393
cg10198837,2.960419204
cg10226744,-5.195009842
cg10479325,13.33321657
cg10497569,4.323673717
cg10701033,-2.71055217
cg10784785,5.140121974
cg10819446,5.662444105
cg10865119,-0.879394878
cg10881225,1.117313614
cg10910775,2.83085394
cg11051055,0.119040824
cg11110686,2.083060373
cg11314684,-0.756960897
cg11631518,-0.931285171
cg11848539,-4.724677165
cg11908570,20.87782476
cg12062492,1.03489733
cg12190994,0.290311618
cg12228611,0.111182624
cg12278474,-0.780742224
cg12570134,-0.452209827
cg12609467,0.830832849
cg12691219,0.092485995
cg12709412,11.24718025
cg12827555,1.041523541
cg13325529,5.797286054
cg13365022,-0.976205265
cg13376158,0.569634533
cg13587552,0.451130252
cg13672791,0.908234796
cg13806741,0.736316146
cg13884546,-1.322819821
cg13974531,-0.349238134
cg14144025,2.219161637
cg14585160,-3.41535214
cg14736210,0.670472842
cg14789804,5.653737936
cg14847483,0.841800142
cg14924781,0.116787576
cg15097876,-40.70037245
cg15156078,-0.895171468
cg15170424,1.607457245
cg15321211,0.237027195
cg15641675,-1.581164202
cg15765212,1.306370097
cg15903395,1.634632054
cg16054275,-0.142867792
cg16161425,1.306240115
cg16241649,0.367413751
cg16551326,0.755003083
cg16778148,1.172358821
cg16867657,1.959198019
cg16907514,0.483661943
cg16929104,-0.704310002
cg17100770,-0.754978541
cg17179568,-0.816230765
cg17226286,0.877792567
cg17285325,1.071130048
cg17354708,-0.76683949
cg17488985,0.715388765
cg17606785,0.350273852
cg17889586,0.635780807
cg18476633,0.326670542
cg18741962,-4.780776799
cg18931750,-2.679769866
cg18964082,-0.311502317
cg19283196,1.527737981
cg19292062,2.497600647
cg19359656,1.43604721
cg19384697,0.520664687
cg19490266,2.29457046
cg19546781,6.014048116
cg19574915,0.944577861
cg19759064,-0.015028242
cg19815139,3.124596049
cg19832721,1.584384339
cg19910382,0.714597353
cg19923810,-0.099286834
cg20789620,-0.117230294
cg20801645,-0.327338476
cg20811273,1.56542019
cg21458932,1.773462973
cg21547976,3.230694092
cg21825027,-4.292027897
cg21924273,3.435950133
cg22021786,0.786914624
cg22041635,17.37386669
cg22136326,-48.45744365
cg22136365,0.081683042
cg22215192,0.482573394
cg22325715,0.350631523
cg22325823,-0.097419737
cg22530232,0.259341778
cg22593785,-0.310818897
cg22748573,-1.61258833
cg22748850,-5.328359614
cg22774472,0.020137546
cg22854546,-20.96909028
cg22956483,0.627304916
cg22967284,-2.894745591
cg22986597,-0.332628052
cg23012579,-1.485579613
cg23124755,-3.527796832
cg23181138,-15.07978216
cg23449696,0.131551936
cg23527621,0.525981034
cg23620639,7.833325318
cg23702568,0.507093067
cg23916845,-0.01317554
cg24006341,1.460475037
cg24014020,0.730405053
cg24394865,-7.284061473
cg24454579,0.907270871
cg24493971,-0.046100438
cg24523000,0.800498909
cg24528523,0.514668231
cg24590353,-0.281151489
cg24692716,2.820753628
cg24728447,-11.62097786
cg24883732,1.020364253
cg24938727,0.970140692
cg25072962,0.496864856
cg25404088,-0.033744318
cg25559313,0.156485604
cg25677688,0.198596558
cg25764570,1.522333781
cg25975818,0.464443808
cg26131911,-7.656098604
cg26152597,-4.443072966
cg26620959,0.101652455
cg26701785,-0.637427379
cg26711820,0.799756139
cg27067781,0.91399801
cg27072387,3.32538356
cg27563048,-1.126207318
