Feature_ID,Coef,Coord_hg18
Intercept,0.886919795,
cg00075967,0.108096063,Chr15_72282407
cg00864867,1.863968574,Chr12_78609399
cg01353448,0.235852029,Chr7_31693437
cg01968178,0.289320053,Chr2_86418549
cg02217159,-0.067976604,Chr6_63054656
cg02331561,0.354782962,Chr16_2331082
cg02332492,0.134285197,Chr9_138960499
cg02388150,0.009137213,Chr8_41284856
cg02479575,2.039720589,Chr19_4720653
cg02489552,0.00110968,Chr19_14982531
cg02580606,0.185193882,Chr17_36780252
cg04084157,0.763330927,Chr7_100595769
cg04528819,1.447966286,Chr7_130068855
cg05675373,0.187092941,Chr1_110555780
cg06144905,0.463910297,Chr17_24393906
cg06493994,1.677018893,Chr6_25760581
cg06557358,-0.208235948,Chr17_29931115
cg06810647,0.008460559,Chr16_1605095
cg06993413,0.050943591,Chr15_63597257
cg08090772,-0.33190174,Chr8_67507194
cg09191327,-0.017810648,Chr9_132529929
cg10281002,0.644843308,Chr12_113330782
cg10523019,0.361338501,Chr2_227408702
cg12830694,0.333855071,Chr19_43439636
cg12946225,0.530482912,Chr19_3524751
cg13038560,0.306105836,Chr2_200527358
cg13460409,0.275569549,Chr21_37301440
cg13682722,0.21846543,Chr14_89868321
cg13975369,0.320199312,Chr7_129867789
cg14424579,3.026873503,Chr2_27127813
cg15547534,0.137235675,Chr7_99872346
cg15661409,0.008380636,Chr14_57030729
cg16241714,3.297841715,Chr8_48813064
cg16547529,0.093427143,Chr11_74818329
cg18180783,0.093105189,Chr10_75072326
cg18440048,0.249750042,Chr22_22423826
cg18983672,0.030218972,Chr1_47653843
cg18984151,0.086714287,Chr3_47530480
cg19008809,0.327085225,Chr3_53055722
cg19167673,-0.651470434,Chr22_37970781
cg19945840,0.763203816,Chr1_1157899
cg20692569,0.797530652,Chr7_72486417
cg20828084,0.179830965,Chr15_78857906
cg21378206,0.558785974,Chr2_113533514
cg21870884,0.079569625,Chr1_199109052
cg22736354,2.262766484,Chr6_18230698
cg22901840,0.095064103,Chr1_68285365
cg22920873,0.655583459,Chr7_138675693
cg23517605,0.310108799,Chr6_3173364
cg23662675,0.352078709,Chr20_45419003
cg24262469,0.13428669,Chr3_157874388
cg24580001,0.247742587,Chr11_63863108
cg25070637,-0.44666326,Chr8_97575044
cg25505610,1.772906777,Chr11_32561760
cg25771195,0.514254835,Chr16_56721315
cg26005082,0.547567138,Chr19_4720660
cg26297688,0.883216148,Chr12_105873223
cg26453588,0.188751514,Chr22_41835965
cg26842024,0.051522717,Chr19_16297122
cg26845300,0.474605378,Chr6_158163821
cg27319898,-0.048598042,Chr7_88226939
cg27377450,0.362731851,Chr19_7352301
cg00431549,-0.350739715,Chr12_14930292
cg01027805,-0.301922411,Chr14_20636703
cg01407797,-0.141060864,Chr22_27498514
cg01459453,-0.592415753,Chr1_167865836
cg01511567,-1.864349749,Chr11_56860207
cg01570885,-0.092113005,Chr6_3794271
cg01820374,-0.211852245,Chr12_6752344
cg02275294,-0.740069387,Chr1_177529085
cg03019000,-0.546028961,Chr3_51679391
cg03286783,-0.559727496,Chr15_42368265
cg04268405,-0.23291363,Chr10_73393227
cg04474832,-0.275148589,Chr3_51983527
cg05442902,-0.618797077,Chr22_19699010
cg07158339,-0.490713553,Chr9_70840057
cg07388493,-0.629412185,Chr1_39264046
cg07408456,-0.125230448,Chr19_15451532
cg08331960,-0.625384236,Chr16_2016598
cg09722397,-0.002921084,Chr17_70367538
cg09809672,-0.189294522,Chr1_234624305
cg11025793,-0.074857504,Chr19_13123015
cg11388238,-0.475300518,Chr2_201083343
cg12413566,-0.215453029,Chr3_39210370
cg12941369,-0.028672434,Chr3_33814393
cg13129046,-0.030879589,Chr10_71059702
cg13269407,-0.038113525,Chr22_44828771
cg13547237,-0.382640829,Chr11_65444453
cg13828047,-0.158465037,Chr15_72969183
cg13931228,-0.360016319,Chr7_24578943
cg14654875,-0.036208905,Chr16_3433998
cg16744741,-0.497488212,Chr4_82345049
cg17324128,-0.851186251,Chr10_44775506
cg17338403,-0.009380072,Chr15_90196840
cg18328933,-0.177608179,Chr3_51983578
cg19722847,-0.672425548,Chr12_30740381
cg19724470,-0.146940496,Chr9_5440936
cg19761273,-0.93416923,Chr17_77825385
cg19853760,-0.072551939,Chr22_36401623
cg22171829,-0.013845279,Chr7_95063456
cg22197830,-0.17248215,Chr5_134237683
cg22947000,-0.358490445,Chr16_79829782
cg24058132,-0.077071346,Chr14_87529619
cg24899750,-0.256103442,Chr20_16658314
cg25809905,-0.348900512,Chr17_39823254
cg26394940,-0.344126844,Chr22_44828125
cg26614073,-0.740945549,Chr3_47492823
cg27015931,-0.764866217,Chr16_21919905
cg27202708,-0.104235908,Chr1_221633332
cg27544190,-1.230694818,Chr21_32707305
