Feature_ID,Coef,Coord_hg19
cg12135344,5.15,Chr1_6188120
cg08169949,-3.77,Chr1_28241532
cg25410668,25.8,Chr1_28241577
cg18235734,-7.17,Chr1_91301731
cg12100751,10,Chr1_109203672
cg16909962,103,Chr1_229406711
cg00533390,15.6,Chr1_245028657
cg23606718,12.5,Chr2_131513927
cg12757011,-1.07,Chr2_162281111
cg04100532,8.62,Chr2_210636560
cg03545227,-13.5,Chr2_220173100
cg12141030,11.6,Chr3_44803447
cg10806820,28.1,Chr3_48699090
cg07806886,26.4,Chr3_120626899
cg03602730,-14.9,Chr3_120626911
cg17280346,1.88,Chr3_147126703
cg15504461,3.82,Chr3_147140880
cg25478614,-7.74,Chr3_187387866
cg02781618,47.7,Chr4_42153695
cg01166145,16.6,Chr4_55093692
cg17062829,-0.693,Chr4_147558089
cg05991454,8.2,Chr4_147558435
cg25148589,0.617,Chr4_158141936
cg15707093,52.1,Chr4_174450353
cg17928883,19.3,Chr5_2038528
cg25090514,7.35,Chr5_2038743
cg16867657,7.8,Chr6_11044877
cg24724428,-0.964,Chr6_11044888
cg21572722,6.88,Chr6_11044894
cg10381888,19.9,Chr6_30228243
cg00048759,-2.81,Chr7_99775422
cg02383785,-6.63,Chr7_127808848
cg14361627,12.3,Chr7_130419116
cg08097417,0.106,Chr7_130419133
cg07955995,4.28,Chr7_130419159
cg12348202,6.36,Chr7_158381023
cg17783401,1.52,Chr8_54790518
cg23027580,-26.3,Chr8_67089513
cg26290632,4.72,Chr8_91094847
cg14940405,-0.712,Chr8_142318883
cg11229185,-6.18,Chr10_22625274
cg11705975,-15,Chr10_120354248
cg01560972,-7.82,Chr11_8190837
cg23091758,-1.6,Chr11_9025767
cg17592231,-11.8,Chr11_43604758
cg08715791,66.3,Chr11_66189297
cg08622677,5.19,Chr12_3601306
cg11354629,12.4,Chr13_28366598
cg08120263,-8.53,Chr14_29236013
cg10281977,28,Chr14_105070864
cg21567504,-27.7,Chr15_28344477
cg27578811,-15.6,Chr15_83316223
cg06385324,10.9,Chr16_2014621
cg05617798,25.7,Chr17_8113714
cg04169021,11.8,Chr17_35060451
cg12448933,0.503,Chr17_72667378
cg26914205,-27.4,Chr18_77865873
cg14911690,22.7,Chr19_19729395
cg07060551,-2.23,Chr19_51198381
cg04684267,14.8,Chr19_58694502
cg12373771,1.36,Chr22_17601381
cg12451153,9.52,Chr22_37099549
