Feature_ID,Coef,Coord_hg19
Intercept,0,
cg23040782,-7.45,Chr1_6762215
cg11197101,8.73,Chr1_33219998
cg00252781,13.2,Chr1_179334658
cg16909962,27.6,Chr1_229406711
cg23606718,25.1,Chr2_131513927
cg03545227,13.5,Chr2_220173100
cg00702638,53.1,Chr3_44803293
cg05555455,-18.5,Chr3_148804550
cg03844506,-7.72,Chr4_4109441
cg16558177,-2.25,Chr4_4109446
cg11299854,43.6,Chr5_132083184
cg05708550,8.4,Chr5_137688227
cg16867657,23.1,Chr6_11044877
cg22736354,-15,Chr6_18122719
cg14848772,-14.3,Chr6_27099813
cg15623062,32.2,Chr6_31747133
cg16489193,25.5,Chr6_33240059
cg18468088,5.96,Chr6_35490818
cg04911280,-9.67,Chr6_44281184
cg19291355,-5.16,Chr6_44281188
cg05917988,2.77,Chr6_44281197
cg20160885,49.6,Chr7_5013524
cg19230755,-2.26,Chr7_65878503
cg09941452,-14.2,Chr7_97557827
cg26830108,1.22,Chr7_100813299
cg19273773,1.56,Chr7_102790112
cg14361627,1.17,Chr7_130419116
cg08097417,53.5,Chr7_130419133
cg02821342,-19.8,Chr7_130793551
cg07392449,73,Chr8_11324666
cg08318076,13,Chr8_62051812
cg02560186,27.8,Chr11_3602584
cg08715791,-30.6,Chr11_66189297
cg23156348,-21.1,Chr11_124981869
cg10820926,19.2,Chr14_30397408
cg06121469,-0.156,Chr15_44956098
cg07477282,2.22,Chr15_44956107
cg21801378,-49.5,Chr15_72612125
cg02331561,-17,Chr16_2391081
cg06144905,9.13,Chr17_27369780
cg14692377,13.7,Chr17_28562685
cg18569335,-30.6,Chr17_40171970
cg26147554,17.7,Chr18_712733
cg21927946,73.4,Chr19_4769688
cg15789607,-15.4,Chr19_4769690
cg12589298,15.3,Chr19_50828905
cg06458239,22.4,Chr19_58038573
cg10729426,13.5,Chr19_58038585
cg26734668,9.2,Chr19_58111094
cg22888484,201,Chr20_37075185
